round,timestamp,mse,psnr,avg_loss,loss_std,avg_bottleneck,min_bottleneck,max_bottleneck,bottleneck_std,compression_ratio,test_snr,test_bottleneck,dataset,channel_stats
1,2025-06-01T01:15:07.240122,0.006880422443072632,21.623848962029946,-0.021806004951606582,0.016598659183870684,152.4,64,213,62.764958376469906,0.4046875,10.995631053544084,64,Tiny ImageNet,"{'avg_snr': 10.995631053544084, 'snr_std': 5.32190705904197, 'min_snr': 2.4611327745132936, 'max_snr': 18.541037709810787, 'snr_range': 16.079904935297492}"
2,2025-06-01T01:18:31.048197,0.002887838547211633,25.39427090886025,-0.024914665422839242,0.018724456797845148,141.2,64,201,53.55520516252365,0.44843750000000004,8.19576406432709,64,Tiny ImageNet,"{'avg_snr': 8.19576406432709, 'snr_std': 5.843385200755695, 'min_snr': 1.1316527947971782, 'max_snr': 14.739824235002473, 'snr_range': 13.608171440205295}"
3,2025-06-01T01:22:21.175358,0.0016690766692614902,27.775237134870604,-0.034756683782212354,0.015104969833794469,138.4,64,190,54.312429516640115,0.459375,7.956559423561207,64,Tiny ImageNet,"{'avg_snr': 7.956559423561207, 'snr_std': 5.496944307771861, 'min_snr': 0.7677780768611955, 'max_snr': 17.358221467910717, 'snr_range': 16.590443391049522}"
4,2025-06-01T01:26:07.722443,0.0011415776966642293,29.424945247482395,-0.04462868339595607,0.006761571596772904,130.6,64,176,52.03690997743813,0.48984375,9.123281850957108,64,Tiny ImageNet,"{'avg_snr': 9.123281850957108, 'snr_std': 6.331722719280252, 'min_snr': 2.102244293102907, 'max_snr': 19.02481839750772, 'snr_range': 16.922574104404813}"
5,2025-06-01T01:29:55.407033,0.0009693784464308351,30.135066407925628,-0.05066096289147505,0.007457365235058978,106.0,64,134,33.48432469081615,0.5859375,9.408131663594409,64,Tiny ImageNet,"{'avg_snr': 9.408131663594409, 'snr_std': 5.9141779455307715, 'min_snr': 2.4651182258391584, 'max_snr': 17.905717977114293, 'snr_range': 15.440599751275133}"
6,2025-06-01T01:33:34.186809,0.0008969646083959748,30.47224692609827,-0.030764882206453303,0.006896592595945785,104.4,64,131,32.57974831087558,0.5921875,10.620211229686687,64,Tiny ImageNet,"{'avg_snr': 10.620211229686687, 'snr_std': 5.047241508004516, 'min_snr': 4.309290667271983, 'max_snr': 18.91803149372047, 'snr_range': 14.608740826448486}"
7,2025-06-01T01:37:13.947683,0.0008564347157343512,30.673057368163093,-0.030495962322593023,0.0071456749481208556,103.2,64,130,31.606328480226868,0.596875,10.506448196398486,64,Tiny ImageNet,"{'avg_snr': 10.506448196398486, 'snr_std': 4.782422567632927, 'min_snr': 2.1466514067281572, 'max_snr': 16.958432236612534, 'snr_range': 14.811780829884377}"
8,2025-06-01T01:40:48.634468,0.0008203570358947945,30.85997092772726,-0.031476220633627656,0.0069625427102572,104.6,64,133,32.76949801263364,0.59140625,10.000402328153687,64,Tiny ImageNet,"{'avg_snr': 10.000402328153687, 'snr_std': 5.071947690183977, 'min_snr': 2.471034225325619, 'max_snr': 18.432614470467293, 'snr_range': 15.961580245141674}"
9,2025-06-01T01:44:31.780890,0.0007885908535509198,31.031482643860528,-0.03187068984792202,0.007428328799180692,103.2,64,129,31.599999999999998,0.596875,9.420301564357743,64,Tiny ImageNet,"{'avg_snr': 9.420301564357743, 'snr_std': 5.05117277623991, 'min_snr': 4.109900696107725, 'max_snr': 18.055330584996792, 'snr_range': 13.945429888889066}"
10,2025-06-01T01:48:05.523736,0.0007719096177006288,31.124335478920013,-0.03132854289377432,0.009333499384153263,103.0,64,129,31.843366656181317,0.59765625,8.099412625024277,64,Tiny ImageNet,"{'avg_snr': 8.099412625024277, 'snr_std': 4.428728318920388, 'min_snr': 2.1074570125891077, 'max_snr': 12.5472785402939, 'snr_range': 10.439821527704794}"
